學校名稱,科系,地址,官方網站
亞東科技大學,電機工程系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,電子工程系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,通訊工程系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,材料織品服裝系材料應用科技組,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,材料織品服裝系織品服裝設計組,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,工業管理系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,行銷與流通管理系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,資訊管理系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,醫務管理系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,工商業設計系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,護理系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
德育護理健康學院,護理系,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
德育護理健康學院,幼兒保育系,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
德育護理健康學院,高齡照顧福祉系,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
德育護理健康學院,餐旅廚藝管理系,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
德育護理健康學院,觀光休閒與健康系,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
德育護理健康學院,美容流行設計科,203301基隆市中山區復興路336號,https://www.dyhu.edu.tw
